"","year","airport","airport_name","state","region","latitude","longitude","delay_type","delay_prop","delay_curr","delay_trend","delay_likely","delay_comp"
"100",2006,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.0456823587007991,23,"decreased","NAS","worse"
"101",2006,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0709369643877357,16,"decreased","Previous Flight","better"
"102",2006,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0537300451494363,22,"decreased","NAS","worse"
"103",2006,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0574252039891206,17,"decreased","Previous Flight","better"
"104",2006,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.0698847333584459,19,"generally remained steady","Previous Flight","worse"
"105",2006,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0691729519097529,15,"decreased","Previous Flight","worse"
"106",2006,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.0767102158491711,22,"increased","NAS","worse"
"107",2006,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.0623421574278444,13,"decreased","Previous Flight","better"
"108",2006,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0598966466104038,19,"generally remained steady","Previous Flight","worse"
"109",2007,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0669796335537745,16,"decreased","NAS","worse"
"110",2007,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.0642408947876749,23,"generally remained steady","NAS","better"
"111",2007,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0536774989716166,18,"generally remained steady","Previous Flight","better"
"112",2007,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0764487811784695,16,"decreased","NAS","better"
"113",2007,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0631112968845789,19,"generally remained steady","NAS","better"
"114",2007,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.0657803557039732,21,"increased","Previous Flight","better"
"115",2007,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.046292438115983,22,"increased","Previous Flight","better"
"116",2007,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0599327887323944,18,"decreased","NAS","better"
"117",2007,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0730889298467918,21,"generally remained steady","NAS","worse"
"118",2007,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0722925157363975,20,"generally remained steady","Previous Flight","worse"
"119",2007,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.0384503514785047,22,"increased","NAS","better"
"120",2007,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.0559947050223258,23,"decreased","NAS","worse"
"121",2007,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0587070678476354,19,"decreased","Previous Flight","worse"
"122",2007,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0664353994513539,21,"increased","Previous Flight","worse"
"123",2007,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0632040091523308,20,"generally remained steady","Previous Flight","worse"
"124",2007,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0413412267890674,18,"increased","Previous Flight","better"
"125",2007,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.0803588634959852,20,"decreased","NAS","worse"
"126",2007,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0614629185221308,18,"decreased","NAS","better"
"127",2007,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.049005886861547,23,"decreased","NAS","worse"
"128",2007,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0714655319439233,16,"decreased","Previous Flight","better"
"129",2007,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0677522358524097,22,"decreased","NAS","worse"
"130",2007,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0664885029701845,17,"decreased","Previous Flight","better"
"131",2007,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.067516906127315,19,"generally remained steady","Previous Flight","worse"
"132",2007,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0757128459783595,15,"decreased","Previous Flight","worse"
"133",2007,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.0720328416003237,22,"increased","NAS","worse"
"134",2007,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.0715782636055457,13,"decreased","Previous Flight","better"
"135",2007,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0664169977067382,19,"generally remained steady","Previous Flight","worse"
"136",2008,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0502308688823968,16,"decreased","NAS","worse"
"137",2008,"BOS","Boston, MA: Logan International","MA","North East",42.364347,-71.005181,"Air Carrier",0.0529214712066744,23,"generally remained steady","NAS","better"
"138",2008,"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","MD","South",39.175361,-76.668333,"Air Carrier",0.0459141138486374,18,"generally remained steady","Previous Flight","better"
"139",2008,"CLT","Charlotte, NC: Charlotte Douglas International","NC","South",35.214,-80.943139,"Air Carrier",0.0580953741172737,16,"decreased","NAS","better"
"140",2008,"DCA","Washington, DC: Ronald Reagan Washington National","DC","South",38.852083,-77.037722,"Air Carrier",0.0527185563798733,19,"generally remained steady","NAS","better"
"141",2008,"DEN","Denver, CO: Denver International","CO","West",39.861656,-104.673178,"Air Carrier",0.0488064769950718,21,"increased","Previous Flight","better"
"142",2008,"DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International","TX","South",32.896828,-97.037997,"Air Carrier",0.0421836454028237,22,"increased","Previous Flight","better"
"143",2008,"DTW","Detroit, MI: Detroit Metro Wayne County","MI","Mid West",42.212444,-83.353389,"Air Carrier",0.0465887654320988,18,"decreased","NAS","better"
"144",2008,"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International","FL","South",26.072583,-80.15275,"Air Carrier",0.0666508879262865,21,"generally remained steady","NAS","worse"
"145",2008,"IAD","Washington, DC: Washington Dulles International","DC","South",38.944533,-77.455811,"Air Carrier",0.0786563100155218,20,"generally remained steady","Previous Flight","worse"
"146",2008,"IAH","Houston, TX: George Bush Intercontinental/Houston","TX","South",29.984433,-95.341442,"Air Carrier",0.0412285590840354,22,"increased","NAS","better"
"147",2008,"JFK","New York, NY: John F. Kennedy International","NY","North East",40.639751,-73.778925,"Air Carrier",0.049938805744011,23,"decreased","NAS","worse"
"148",2008,"LAS","Las Vegas, NV: McCarran International","NV","West",36.080056,-115.15225,"Air Carrier",0.0516454466046937,19,"decreased","Previous Flight","worse"
"149",2008,"LAX","Los Angeles, CA: Los Angeles International","CA","West",33.942536,-118.408075,"Air Carrier",0.0572825184876092,21,"increased","Previous Flight","worse"
"150",2008,"MCO","Orlando, FL: Orlando International","FL","South",28.429394,-81.308994,"Air Carrier",0.0580703658135856,20,"generally remained steady","Previous Flight","worse"
